csv_series,db_series_name,db_brand_name,match_type,fuzzy_alternatives
ESD02 SERIES 2 FLUTE CORNER RADIUS,ESD02,CBN,token_exact,
ESE93,ESE93,CBN,exact,
ESE94,ESE94,CBN,exact,
G8A45,G8A45,X5070,exact,
G8D62,G8D62,X5070,exact,
G930 SERIES,G930,X-SPEED ROUGHER,token_exact,
G9B81 SERIES 2 FLUTE BALL NOSE,G9B81,K-2 CARBIDE,token_exact,
GA931,GA931,TANK-POWER,exact,
GAC25,GAC25,TANK-POWER,exact,
GAD33,GAD33,TANK-POWER,exact,
GM815,GM815,X-POWER PRO,exact,
GM876,GM876,X-POWER PRO,exact,
GM886 SERIES 2 FLUTE BALL NOSE RIB PROCESSING,GM886,X-POWER PRO,token_exact,
GM8A1 SERIES 2 FLUTE CORNER RADIUS RIB PROCESSING,GM8A1,X-POWER PRO,token_exact,
GMG24 / GMG25 / GMG26 / GMG27 / GMG28 / GMG29 / GMG30 / GMG31,GMG24,TitaNox-Power,token_exact,
GMG56 SERIES 4 FLUTE BALL NOSE,GMG56,V7 PLUS,token_exact,
GMG87,GMG87,V7 PLUS,exact,
GMH42,GMH42,SUS-CUT for Korean Market,exact,
GMH55 / GMG40 / GMG41,GMG40,TitaNox-Power,token_exact,
GMH61,GMH61,V7 PLUS,exact,
GMH62 / GMH63 / GMH64 / GMI35,GMH62,V7 PLUS,token_exact,
GMI41,GMI41,SUS-CUT for Korean Market,exact,
GYF97 SERIES 2 FLUTE BALL NOSE,GYF97,ONLY ONE,token_exact,
ML092 SERIES,ML092,GENERAL HSS,token_exact,
ML162 SERIES,ML162,GENERAL HSS,token_exact,
POWER / SEM816,SEM816,X-POWER S,token_exact,
RECOMMENDED / CUTTING / CONDITIONS / EMPFOHLENE / SCHNEIDPARAMETER / SEME61 / SERIES / FLUTE / CORNER / RADIUS / SLOTTING,SEME61,4G MILL,token_exact,
SEM810,SEM810,X-POWER S,exact,
SEM811,SEM811,X-POWER S,exact,
SEM812 / POWER,SEM812,X-POWER S,token_exact,
SEM813,SEM813,X-POWER S,exact,
SEM814,SEM814,X-POWER S,exact,
SEM817,SEM817,X-POWER S,exact,
SEM818,SEM818,X-POWER S,exact,
SEM819,SEM819,X-POWER S,exact,
SEM838,SEM838,X-POWER S,exact,
SEM845,SEM845,4G MILL,exact,
SEM846,SEM846,4G MILL,exact,
SEMD98,SEMD98,4G MILL,exact,
SEMD99,SEMD99,4G MILL,exact,
SEME01,SEME01,4G MILL,exact,
SEME56,SEME56,4G MILL,exact,
SEME57,SEME57,4G MILL,exact,
SEME58,SEME58,4G MILL,exact,
SEME59,SEME59,4G MILL,exact,
SEME60,SEME60,4G MILL,exact,
SEME61,SEME61,4G MILL,exact,
SEME63,SEME63,4G MILL,exact,
SEME64 / SEME65,SEME64,4G MILL,token_exact,
SEME64 / SERIES / FLUTE / CORNER / RADIUS / SIDE / CUTTING,SEME64,4G MILL,token_exact,
SEME66,SEME66,4G MILL,exact,
SEME67,SEME67,4G MILL,exact,
SEME68,SEME68,4G MILL,exact,
SEME69,SEME69,4G MILL,exact,
SEME70,SEME70,4G MILL,exact,
SEME71,SEME71,4G MILL,exact,
SEME72,SEME72,4G MILL,exact,
SEME72 / SERIES / FLUTE / SIDE / CUTTING,SEME72,4G MILL,token_exact,
SEME73,SEME73,4G MILL,exact,
SEME74,SEME74,4G MILL,exact,
SEME75,SEME75,4G MILL,exact,
SEME78,SEME78,4G MILL,exact,
SEME79,SEME79,4G MILL,exact,
SEME81 / SEME95,SEME81,4G MILL,token_exact,
SEME82,SEME82,4G MILL,exact,
SG8A01,SG8A01,X5070 S,exact,
SG8A02,SG8A02,X5070 S,exact,
SG8A36,SG8A36,X5070 S,exact,
SG8A37,SG8A37,X5070 S,exact,
SG8A38,SG8A38,X5070 S,exact,
SG8A39 / SG8B91,SG8A39,X5070 S,token_exact,
SG8A60 / SG8A36,SG8A60,X5070 S,token_exact,
SG8B89,SG8B89,X5070 S,exact,
SG8B90,SG8B90,X5070 S,exact,
SG8D32,SG8D32,X5070 S,exact,
SG9E76,SG9E76,4G MILL,exact,
SPEED / SG9E77,SG9E77,4G MILL,token_exact,
XMB120C,XMB120C,i-Xmill,exact,
XMR120C,XMR120C,i-Xmill,exact,
XSEME01,XSEME01,i-SMART,exact,
XSEME60,XSEME60,i-SMART,exact,
CAPSCREW,,,no_match,
CGM3S01,CG3S01,3S MILL,fuzzy_0.92,CG3S02(0.77) | CG3S11(0.77)
CGM3S02,CG3S02,3S MILL,fuzzy_0.92,CG3S01(0.77) | CG3S60(0.77)
CGM3S36,CG3S36,3S MILL,fuzzy_0.92,CG3S13(0.77) | CG3S37(0.77)
CGM3S37,CG3S37,3S MILL,fuzzy_0.92,CG3S13(0.77) | CG3S36(0.77)
CGM3S38,CG3S38,3S MILL,fuzzy_0.92,CG3S13(0.77) | CG3S36(0.77)
CGM3S45,CG3S45,3S MILL,fuzzy_0.92,CG3S46(0.77) | CG3S47(0.77)
CGM3S46,CG3S46,3S MILL,fuzzy_0.92,CG3S36(0.77) | CG3S45(0.77)
CGM3S47,CG3S47,3S MILL,fuzzy_0.92,CG3S37(0.77) | CG3S45(0.77)
CGM3S60,CG3S60,3S MILL,fuzzy_0.92,CG3S01(0.77) | CG3S02(0.77)
CGMG62,GMF62,V7 PLUS,fuzzy_0.73,GMG12(0.73) | GMG16(0.73)
CGMG63,GMF63,V7 PLUS,fuzzy_0.73,GMG13(0.73) | GMG16(0.73)
CGPH01,CG3S01,3S MILL,fuzzy_0.67,
CGPH02,CG3S02,3S MILL,fuzzy_0.67,
CGPH38,CG3S38,3S MILL,fuzzy_0.67,D1GP138(0.62)
CHAMFERING,,,no_match,
COOLANT,,,no_match,
COOLANT HOLES,,,no_match,
D1953,D1353,CENTER DRILLS,fuzzy_0.80,DLGP195(0.67) | D1105(0.60)
D2307,D1207,MORSE TAPER SHANK DRILLS,fuzzy_0.80,D2107(0.80) | D2207(0.80)
D5328,D5302,CENTER DRILLS,fuzzy_0.80,D5432(0.80) | D1208(0.60)
D5332 SERIES CARBIDE CENTER DRILLS,,,no_match,
DH478,DH408,DREAM DRILLS-GENERAL,fuzzy_0.80,DH418(0.80) | D4107(0.60)
DL205,D1205,MORSE TAPER SHANK DRILLS,fuzzy_0.80,D2105(0.80) | DL105(0.80)
DL610,DL105,STRAIGHT SHANK DRILLS,fuzzy_0.80,DL109(0.80) | DL608(0.80)
DPP450,DH450,DREAM DRILLS-FLAT BOTTOM,fuzzy_0.73,DPP447(0.67) | DLGP506(0.62)
DPPA02,,,no_match,
DSGA11,SG8A01,X5070 S,fuzzy_0.67,D1GP113(0.62) | D2GP191(0.62)
E2160,E2410,GENERAL HSS,fuzzy_0.80,E2510(0.80) | E2516(0.80)
E2161 SERIES,,,no_match,
E5E96,E2596,GENERAL HSS,fuzzy_0.80,E5976(0.80) | E5E39(0.80)
EMH77 / EMH78 / EMH79,EH077,GENERAL CARBIDE,fuzzy_0.80,EM077(0.80) | EMB77(0.80)
EMI94,EMI42,TitaNox-Power HPC,fuzzy_0.80,EMI43(0.80) | E2194(0.60)
EMPFOHLENE SCHNEIDPARAMETER,,,no_match,
END / MILLS / HPI91 / HPI92,,,no_match,
FLUTE BALL NOSE,,,no_match,
FLUTE BALL NOSE RIB PROCESSING,,,no_match,
FLUTE CORNER ROUNDING,,,no_match,
FLUTE CORNER ROUNDING CUTTERS,,,no_match,
G9400 SERIES 2 FLUTE DRILL MILLS,,,no_match,
GENERAL RECOMMENDED CUTTING CONDITIONS,,,no_match,
GM902,UGMF90,GENERAL CARBIDE,fuzzy_0.73,G907(0.67) | G908(0.67)
GMH54,GMF54,V7 PLUS,fuzzy_0.80,GMH42(0.80) | GMH56(0.80)
GMI25,GMF25,4G MILL,fuzzy_0.80,GMG25(0.80) | XGMF25(0.73)
GMI48,GMI41,SUS-CUT for Korean Market,fuzzy_0.80,GMI47(0.80) | EMD48(0.60)
GNX01,EG021,GENERAL CARBIDE,fuzzy_0.60,G8A01(0.60) | GYG01(0.60)
GNX35,GAA35,TANK-POWER,fuzzy_0.60,G5(0.57)
GNX36,G8A36,X5070,fuzzy_0.60,GA936(0.60) | TG836(0.60)
GNX45,EG245,GENERAL CARBIDE,fuzzy_0.60,G8A45(0.60) | G9425(0.60)
GNX46,EG246,GENERAL CARBIDE,fuzzy_0.60,G8A46(0.60) | G9F46(0.60)
GNX61,GMF61,V7 PLUS,fuzzy_0.60,GMH61(0.60)
GNX64,G8D64,X5070,fuzzy_0.60,G9624(0.60) | G9634(0.60)
GNX66,EG066,GENERAL CARBIDE,fuzzy_0.60,GMF66(0.60) | GYG66(0.60)
GNX67,EG067,GENERAL CARBIDE,fuzzy_0.60,G9D67(0.60) | GYG67(0.60)
GNX73,EG073,GENERAL CARBIDE,fuzzy_0.60,G9H73(0.60)
GNX74,G9H74,K-2 CARBIDE,fuzzy_0.60,GYG74(0.60)
GNX75,G9D75,X-SPEED ROUGHER,fuzzy_0.60,G9H75(0.60) | TG475(0.60)
GNX98,G908,X-SPEED ROUGHER,fuzzy_0.67,G928(0.67) | EG908(0.60)
GNX99,G909,X-SPEED ROUGHER,fuzzy_0.67,G929(0.67) | EG909(0.60)
HIGH,,,no_match,
HIGH SPEED,,,no_match,
HPI88,EH882,GENERAL CARBIDE,fuzzy_0.60,EI880(0.60) | EI881(0.60)
HPI88 SERIES 2 FLUTE FOR RIB PROCESSING,,,no_match,
HPI88 SERIES 2 FLUTE SQUARE FOR RIB PROCESSING,,,no_match,
HPI89 SERIES 2 FLUTE CORNER RADIUS FOR RIB PROCESSING,,,no_match,
HPI90 SERIES 2 FLUTE BALL NOSE,,,no_match,
HPI91,EH911,JET-POWER,fuzzy_0.60,EH912(0.60) | EH913(0.60)
HPI92 SERIES 2 FLUTE BALL NOSE FOR RIB PROCESSING,,,no_match,
M42,EMB42,V7 MILL-INOX,fuzzy_0.75,EMD42(0.75) | EMI42(0.75)
M42 HSS,,,no_match,
MILL END MILLS RECOMMENDED CUTTING CONDITIONS,,,no_match,
MILL RECOMMENDED CUTTING CONDITIONS,,,no_match,
MMC,,,no_match,
NORMAL,,,no_match,
NORMAL SPEED,,,no_match,
PLANE,,,no_match,
POWER,,,no_match,
POWER S,,,no_match,
PROFILE MILLING,,,no_match,
RECOMMENDED CUTTING CONDITIONS,,,no_match,
"RECOMMENDED CUTTING CONDITIONS
EMPFOHLENE SCHNEIDPARAMETER",,,no_match,
RIB PROCESSING,,,no_match,
SIDE,,,no_match,
SIDE CUTTING,,,no_match,
SLOT,,,no_match,
SLOTTING,,,no_match,
UGMH07 SERIES,,,no_match,
