csv_series,db_series_name,db_brand_name,match_type,fuzzy_alternatives
CDRA04,CDRA04,MULTI-1 DRILLS,exact,
CE7406,CE7406,GENERAL HSS,exact,
CE7659,CE7659,GENERAL HSS,exact,
CE7A63,CE7A63,GENERAL HSS,exact,
D1100,D1100,STRAIGHT SHANK DRILLS,exact,
D1GP123,D1GP123,GOLD-P DRILLS,exact,
D2101 / CD2101 / D2104 / D2107 / DL109 / D2105 / D2201 / DL205,D2101,STRAIGHT SHANK DRILLS,token_exact,
DGN508 SERIES,DGN508,DREAM DRILLS-PRO,token_exact,
DGR495,DGR495,DREAM DRILLS-HIGH FEED,exact,
DH406 / DH408 / DH421,DH406,DREAM DRILLS-GENERAL,token_exact,
DH421,DH421,DREAM DRILLS-GENERAL,exact,
DH423 / DH424 / DH404 / DH476 / DH478,DH423,DREAM DRILLS-GENERAL,token_exact,
DH453,DH453,DREAM DRILLS-INOX,exact,
DH500,DH500,DREAM DRILLS FOR HIGH HARDENED STEEL,exact,
DHM30,DHM30,DREAM DRILLS-MQL TYPE,exact,
DPP447,DPP447,DREAM DRILLS-FLAT BOTTOM,exact,
DV305,DV305,CENTER DRILLS,exact,
E2030,E2030,GENERAL HSS,exact,
E2401 / E2406 / E2749,E2401,GENERAL HSS,token_exact,
E2412 / E2659 / E2750,E2412,GENERAL HSS,token_exact,
E2463,E2463,GENERAL HSS,exact,
E2480,E2480,GENERAL HSS,exact,
E2498,E2498,GENERAL HSS,exact,
E2753,E2753,GENERAL HSS,exact,
E2754 / E2768,E2754,GENERAL HSS,token_exact,
E2756,E2756,GENERAL HSS,exact,
E2762,E2762,GENERAL HSS,exact,
E2806,E2806,GENERAL HSS,exact,
E9A30 SERIES,E9A30,TANK-POWER,token_exact,
EH914 SERIES,EH914,JET-POWER,token_exact,
EH916 SERIES,EH916,JET-POWER,token_exact,
EHD84,EHD84,SUS-CUT for Korean Market,exact,
EHD85,EHD85,SUS-CUT for Korean Market,exact,
EHD87,EHD87,SUS-CUT for Korean Market,exact,
EHE55,EHE55,TitaNox-Power,exact,
EMD81,EMD81,SUS-CUT for Korean Market,exact,
EMD83,EMD83,SUS-CUT for Korean Market,exact,
EMD88,EMD88,SUS-CUT for Korean Market,exact,
EMD92,EMD92,SUS-CUT for Korean Market,exact,
EQ406,EQ406,GENERAL HSS,exact,
EQ412,EQ412,GENERAL HSS,exact,
EQ412 / EQ659 / GB750,EQ412,GENERAL HSS,token_exact,
EQ480,EQ480,GENERAL HSS,exact,
EQ762,EQ762,GENERAL HSS,exact,
EQ768,EQ768,GENERAL HSS,exact,
ESB94 SERIES 2 FLUTE BALL NOSE,ESB94,CBN,token_exact,
