LV1_ISO,LV2_Category,VDI3233_No,HB,HRC,Material_Description,Composition_Heat_Treatment,Material_No,JIS,DIN,AISI_ASTM_SAE,BS,EN,AFNOR,SS,UNI,UNE_IHA,UNS,GOST,GB,Brands
P,Prehardened Steels,7,275,29,Low-alloyed Steel,Quenched & Tempered,1.7218,SCM420,25CrMo4,4130,CDS110,25CD4,2225,25CrMo4(KB),20C M,,,,,
P,Prehardened Steels,7,275,29,Low-alloyed Steel,Quenched & Tempered,1.8159,SUP 10,50CrV4,6150,735A50,47,50CrV4,2230,50CrV4,51CrV4,G61500,50C GFA,50CrVA,
P,Prehardened Steels,7,275,29,Low-alloyed Steel,Quenched & Tempered,1.8515,32CrMo12,722M24,40B,30CD12,2240,32CrMo12,F.124A,,,,,,
P,Prehardened Steels,8,300,32,Low-alloyed Steel,Quenched & Tempered,1.7361,32CrMo12,722M24,40B,30CD12,2240,30CrMo12,F.124A,,,,,,
P,Prehardened Steels,8,300,32,Low-alloyed Steel,Quenched & Tempered,1.738,10CrMo9-10,A182F22,1501-622,12CD9-10,2218,12CrMo9,12KH8,,,,,,
P,Prehardened Steels,8,300,32,Low-alloyed Steel,Quenched & Tempered,1.7715,14MoV6-3,1503-660-440,13MoCrV6,,,,,,,,,,
P,Prehardened Steels,8,300,32,Low-alloyed Steel,Quenched & Tempered,1.8159,SUP 10,50CrV4,6150,735A50,47,50CrV4,2230,50CrV4,G61500,50C GFA,,,
P,Prehardened Steels,8,300,32,Low-alloyed Steel,Quenched & Tempered,1.8161,58CrV4,,,,,,,,,,,,
P,Prehardened Steels,8,300,32,Low-alloyed Steel,Quenched & Tempered,1.8509,SACM 645,41CrAlMo7,A355A,905M39,41B,40CAD6-12,2940,41CrAlMo7,,,,,
P,Prehardened Steels,8,300,32,Low-alloyed Steel,Quenched & Tempered,1.8523,39CrMoV13-9,897M39,40C,36CrMoV12,,,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.0904,"SKH 1, SKT 4",55Si7,9255,250A53,45,55S7,2085,55Si8,G92550,55S2,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.0961,SUP 7,60SiCr7,9262,60SC6,60SiCr8,G92620,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.2067,100Cr6,L3,BL3,Y100C6,100Cr6,"CrV, 9SiCr",,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.2419,SKS31,105WCr6,105WC13,105WC13,2140,10WCr6,C WG,CrWMo,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.2542,45WCrV7,S1,BS1,2710,45WCrV8KU,5C W25F,5CrNiMo,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.2713,SKT4,55NiCrMoV6,L6,55NCDV7,F.520S,5C NM,5CrNiMo,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.4882,X50CrMnNiNbN219,Z50CMNNb21-09,,,,,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.512,38MnSi4,,,,,,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.571,SNC236,36NiCr6,3135,640A35,111A,35NC6,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.5755,SNC236,31NiCr14,830m31,18NC13,2534,F.1270,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.6511,SUP10,36CrNiMo4,9840,816M40,110,40NCD3,36NiCrMo4(KB),40C N2MA,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.6546,SNCM240,40NiCrMo2-2,8740,311-Tyre7,40NiCrMo2(KB),38C GNM,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.7035,SCr440(H),41Cr4,5140,530M40,18,42C4,2245,41Cr4,G51400,40H,40Cr,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.7176,SUP9(A),55Cr3,5155,527A60,48,55C3,2253,55Cr3,50C GA,20CrMn,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.722,SCM432,34CrMo4,4135,708Aa37,35CD4,2234,34CrMo4,35C M,35CrMo,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.7223,SNB22-1,41CrMo4,4142,41CrMo4,40C FA,40CrMoA,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.7225,SCM 440 (H),42CrMo4,4140,708 M 40,42 CrMo 4,42 CD 4,2244,42 CrMo 4,F.1252,38HM,"42CrMo, 42CrMnMo",,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.7361,32CrMo12,722M24,40B,30CD12,2240,30CrMo12,F.124A,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.8159,SUP 10,50CrV4,6150,735A50,47,50CrV4,2230,50CrV4,51CrV4,G61500,50C GFA,50CrVA,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.8161,58CrV4,,,,,,,,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.8509,SACM 645,41CrAlMo7,A355A,905M39,41B,40CAD6-12,2940,41CrAlMo7,,,,,
P,Prehardened Steels,9,350,38,Low-alloyed Steel,Quenched & Tempered,1.8523,39CrMoV13-9,897M39,40C,36CrMoV12,,,,,,,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.0347,SPCD,RR St 3,A619,CR 3,Fe P03,F 13,DC03/FeP03,08JU,,,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.0723,SUM32,15S22,210A15,1922,F.210F,,,,,,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.208,SKD1,X210Cr12,D3,BD3,X210Cr12,Z200C12,X205Cr12KU,T30403,KH12,Cr12,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2162,SCR 420 H,21MnCr5,20MC5,,,,,,,,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2311,40CrMnMo7,40CMD8,35cRmO8KU,,,,,,,,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2312,40CrMnMoS8.6,P20+S,40CMD8S,,,,,,,,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2316,X36CrMo17,X38CrMo16,,,,,,,,,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2343,SKD 6,X38CrMoV5-1,H11,BH11,Z38CDV5,X37CrMoV51KU,T20811,4C 5MFS,,,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2344,SKD61,X40CrMoV5-1,H13,BH13,Z40CDV5,2242,X40CrMoV511KU,F.5318,T20813,4C 5MF1S,4Cr5MoVSi,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2363,SKD12,X100CrMoV5-1,A2,BA2,Z100CDV5,2260,X100CrMoV51KU,F.5227,9KH5VF,Cr6WV,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2379,SKD11,X155CrVMo121,D2,BD2,Z160CDV12,2310,X165CrMoW12KU,T30402,KH12MF,KRUPP2379,,,
P,Prehardened Steels,10,200,15,"High-alloyed steel, and tool steel",Annealed,1.2436,SKD 2,X210CrW12,D4(D6),BD6,Z200CD12,2312,X215CrW121KU,F.5213,KH12,Cr12W,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.208,SKD1,X210Cr12,D3,BD3,X210Cr12,Z200C12,X205Cr12KU,T30403,KH12,Cr12,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2344,SKD61,X40CrMoV5-1,H13,BH13,Z40CDV5,2242,X40CrMoV511KU,F.5318,T20813,4C 5MF1S,4Cr5MoVSi,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2363,SKD12,X100CrMoV5-1,A2,BA2,Z100CDV5,2260,X100CrMoV51KU,F.5227,9KH5VF,Cr6WV,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2436,SKD 2,X210CrW12,D4(D6),BD6,Z200CD12,2312,X215CrW121KU,F.5213,KH12,Cr12W,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.251,SKS3,100MnCrW4,O1,BO1,90 MWCV 5,2140,95 MnWCr 5 KU,F.5220,9KHVG,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2581,SKD5,X30WCrV9-3,H21,BH21,Z30WCV9,X30WCrV93KU,F.526,T20821,3C 2W8F,3Cr2W8V,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2581,SKD5,X30WCrV9-3,H21,BH21,Z30WCV9,X30WCrV93KU,F.526,T20821,3C 2W8F,3Cr2W8V,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2601,X165CrMoV12,2310,X160CrMoV12,KH12MF,Cr12MoV,,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2601,X165CrMoV12,2310,X160CrMoV12,KH12MF,Cr12MoV,,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2606,SKD 62,X37CrMoW51,H12,BH12,Z35CWDV5,X35CrMoW05KU,F.537,T20812,5C NM,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2714,SKT 4,55NiCrMoV7,6F3/L6,55NiCrMoV7,F.520S,5KHNV,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2764,X19NiCrMo4,,,,,,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2767,X45NiCrMo4,45NCD16,40NiCrMoV8KU,,,,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.2842,90MnCrV8,O2,B02,90MV8,90MnVCr8KU,T31502,9G2F,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3202,S12-1-4-5,BT15,HS12-1-5-5,,,,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3207,S10-4-3-10,BT42,Z130WKCDV,,,,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3243,SKH55,S6-5-2-5,T15,KCV06-05-05-04-02,2723,HS6-5-2-5,R6M5K5,W6Mo5Cr4V2Co5,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3243,SKH55,S6-5-2-5,T15,KCV06-05-05-04-02,2723,HS6-5-2-5,R6M5K5,W6Mo5Cr4V2Co5,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3246,S7-4-2-5,M35,Z110WKCDV07-05-04,HS7-4-2-5,,,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3247,SKH 51,S2-10-1-8,M42,BM42,Z110DKCWV09-08-04,HS2-9-1-8,R2AM9K5,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3249,SKH 3,S18-1-2-5,T4,BT4,Z80WKCV18-05-04,R18K5F2,W18Cr4VCo5,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3255,SKH 3,S18-1-2-5,T4,BT4,Z80WKCV18-05-04,R18K5F2,W18Cr4VCo5,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3343,"SKH51, SKH9",S6-5-2,M2,BM2,Z85WDCV,2722,HS652,F.5604,R6M5,W6Mo5Cr4V2,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3343,"SKH51, SKH9",S6-5-2,M2,BM2,Z85WDCV,2722,HS652,F.5604,R6M5,W6Mo5Cr4V2,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3348,SKH 58,S2-9-2,M7,Z100DCWV09-04-02,2782,HS292,F.5607,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3348,SKH 58,S2-9-2,M7,Z100DCWV09-04-02,2782,HS292,F.5607,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3355,SKH 2,S18-0-1,T1,BT1,Z80WCV18-4-01,R18,W18Cr4V,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.3355,SKH 2,S18-0-1,T1,BT1,Z80WCV18-4-01,R18,W18Cr4V,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.4718,SUH1,X45CrSi9-3,HNV3,401S45,52,Z45CS9,X45CrSi8,F.322,40C 9S2,4Cr9Si2,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.4718,SUH1,X45CrSi9-3,HNV3,401S45,52,Z45CS9,X45CrSi8,F.322,40C 9S2,4Cr9Si2,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.4935,SUH 616,X20CrMoWV121,422,S42200,,,,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.5662,SL9N60(53),X8Ni9,ASMA353,502-650,9Ni,X10Ni9,F.2645,,,,,,
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.568,12Ni19,2515,12Ni19,Z18N5,Mat'l,No.,JIS,DIN,AISI/ASTM/,SAE,BS,EN,AFNOR
P,Prehardened Steels,11,325,35,"High-alloyed steel, and tool steel",Quenched & Tempered,1.568,12Ni19,2515,12Ni19,Z18N5,,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4,SUS403,X6Cr13,403,403S17,Z6C13,2301,X6Cr13,F.3110,S40300,08C 13,0Cr13;1Cr12,ATI 410S,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4001,X7Cr14,410 S,403S7,Z8C13,2301,F.8401,08C 13,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4002,SUS 405,X6CrAl13,405,405S17,Z6CA13,2302,X6CrAI13,S40500,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4005,SUS416,X12CrS13,416,416S21,Z11CF13,2380,X12CrSC13,F.3411,S41600,ATI 416,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4006,SUS410,X12Cr13,410,410S21,56A,Z10C13,2302,X12Cr13,F.3401,S41000,12C 13,ATI 410,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4016,SUS430,X6Cr17,430,430S15,X8Cr17,Z8C17,2320,X8Cr17,F3113,S43000,12C 17,1Cr17,ATI 430
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4027,SCS 2,GX20Cr14,420C29,Z20C13M,20C 13L,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4028,SUS420J2,X30Cr13,420,420S45,Z30C13,2304,S42020,20C 13,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4034,SUS420J2,X46Cr13,420S45,Z40C14,X40Cr14,F.3405,4Cr13,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4057,SUS431,X19CrNi17-2,431,431S29,57,Z15CN16-02,2321,X16CrNi16,F.3427,S43100,20C 17N2,431 (HT),
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4086,GX120Cr29,452C11,,,,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4104,SUS430F,X12CrMoS17,430F,420S37,Z10CF17,2383,X10CrS17,F.3117,S43020,Y1Cr17,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4112,SUS 440 B,X90CrMoV18,440B,S44003,95KH18,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4113,SUS434,X6CrMo17,434,434S17,Z8CD17-01,2325,X8CrMo17,S43400,AL 434,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4313,SCS5,X3CrNi13-4,CA6-NM,425C11,Z4CND13-04M,2385,(G)X6CrNi304,J91540,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.434,GX40CrNi274,J92615,,,,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4417,X2CrNiM0Si195,S31500,2376,S39215,,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4418,X4CrNiMo165,Z6CND16-04-01,2387,APX4,,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.451,SUS430LX,X6CrTi17,XM8,Z4CT17,X6CrTi17,F.3115,S43035,08C 17T,430 Ti,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4511,SUS430LK,X6CrNb17,Z4CNb17,X6CrNb17,F.3122,AXC525,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4512,SUH409,X6CrTi12,409,LW19,Z3CT12,X6CrTi12,S40900,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.472,X20CrMo13,,,,,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4724,SUS 405,X10CrA113,405,403S17,Z10C13,X10CrA112,F.311,10C 13SJU,0Cr13Al,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4742,SUS430,X10CrA118,430,439S15,60,Z10CAS18,X8Cr17,F.3113,S43000,15C 13SJU,Cr17,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4747,SUH4,X80CrNiSi20,HNV6,443S65,59,Z80CSN20-02,X80CrSiNi20,F.320B,S65006,8Cr2OSi2Ni,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4749,X18CrN28,446,15KH28,,,,,,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4762,SUH446,X10CrA124,446,Z10CAS24,2322,X16Cr26,S44600,2Cr25N,,,,,
M,Stainless Steels,12,200,15,Stainless steel,"Ferritic / Martensitic, Annealed",1.4871,"SUH35,SUH36",X53CrMnNiN21-9,EV8,349S54,Z52CMN21-09,X53CrMnNiN219,S63008,55C 20G9AN4,5Cr2Mn9Ni4N,X10CrNi15,429,X12CrNi18-9,302
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4021,SUS 420J1,X20Cr13,420,420S37,Z20C13,2303,14210,F.5261,S42000,20C 13,2Cr13,ATI 420,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4027,SCS 2,GX20Cr14,420C29,Z20C13M,20C 13L,,,,,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4031,SUS 420 J2,X40Cr13,420,Z40C14,-2304,F.3404,S42080,40C 13,,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4034,SUS420J2,X46Cr13,420S45,Z40C14,X40Cr14,F.3405,4Cr13,,,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4057,SUS431,X19CrNi17-2,431,431S29,57,Z15CN16-02,2321,X16CrNi16,F.3427,S43100,20C 17N2,1Cr17Ni2,431 (HT)
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4104,SUS430F,X12CrMoS17,430F,420S37,Z10CF17,2383,X10CrS17,F.3117,S43020,Y1Cr17,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4113,SUS434,X6CrMo17,434,434S17,Z8CD17-01,2325,X8CrMo17,S43400,AL 434,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4313,SCS5,X3CrNi13-4,CA6-NM,425C11,Z4CND13-04M,2385,(G)X6CrNi304,J91540,,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4544,A 700,321,S.524,Z 10 CNT 18 11,X6CrNiTi1811,J92630,08C 18N12T,,,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4546,X5CrNiNb18-10,348,347S31,X6CrNiNb1811,J92640,ATI 348,,,,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4871,"SUH35,SUH36",X53CrMnNiN21-9,EV8,349S54,Z52CMN21-09,X53CrMnNiN219,S63008,55C 20G9AN4,,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4922,X20cRmV12-1,2317,x20cRmOnI1201,,,,,,,,,,
M,Stainless Steels,13,240,23,Stainless steel,"Martensitic, Quenched & Tempered",1.4923,X22CrMoV121,Jethete X20,,,,,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4301,SUS 304,X5CrNi18-10,304,304S15,Z5CN18-09,2332,F.3551,S30409,08C 18N10,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4305,SUS303,X10CrNiS18-10,303,303S21,58M,Z8CNF18-09,2346,X10CrNiS18.09,F.3508,S30300,30C 18N11,1Cr18Ni9MoZr,ATI 303
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4306,SCS19,X2CrNi1911,304L,304C12,X3CrNi1810KD,Z2CN18-09,2352,GX2CrNi1910,F.3503,S30403,03KH18N11,0Cr19Ni10,ATI 304L
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4308,SUS304L,GX6CrNi18-9,CF-8,304C15,58E,Z6CN18-10M,2333,CF-8,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.431,SUS 301,X10CrNi18-8,301,301S21,Z12CN17-07,2331,X2CrNi1807,F.3517,S30100,07KH16N6,Cr17Ni7,ATI 301,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4311,SUS304LN,X2CrNiN18 10,304LN,304S62,Z2CN18-10,2371,X2CrNiN1810,F.3541,S30453,03KH18N11,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4312,SCS12,GX10CrNi188,305,302C25,Z10CN18-9M,10C 18N9L,ATI 305,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.435,SUS304,X5CrNi18-9,304,304S15,58E,Z6CN18-09,2332,X5CrNi1810,F.3551,S30400,0Cr18Ni9,ATI 304,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4362,X2CrNiN234,S32304,Z2CN23-04AZ,2327,S32304,ATI 2304TM,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4371,X3CrMnNiN18887,202,284S16,Z8CMN18-08-05,,,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4401,SUS316,X5CrNiMo17-12-2,316,316S13,Z3CND17-11-01,2347,X5CrNiMo17 12 2,F.3534,S31600,08KH17H13M2T,ATI 316,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4404,SUS316L,X2CrNiMo17-13-2,316L,316S11,Z2CND17-12,2348,X2CrNiMo1712,F.3533,S31603,ATI 316L,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4406,SUS316LN,X2CrNiMoN17122,316LN,316S61,Z2CND17-12AZ,X2CrNiMoN1712,F.3542,S31653,07C 18N,ATI 316LN,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4408,SCS14,GX6CrNiMo18-10,CF-8M,316C16,2343,X7CrNiMo2010,F.8414,J92900,10G2S2MSL,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.441,SCS 14 A,GX10CrNiMo18-9,Z5CND20-12M,2328,S32750,,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4429,SUS316LN,X2CrNiMoN17-13-3,316Ln,316S62,Z2CND17-13AZ,2375,X2CrNiMoN17133,F.3543,03KH16N15M3,00Cr17Ni13Mo2,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4435,SUS316L,X2CrNiMo18143,316L,316S11,Z3CND17-12-03,2375,X2CrNiMo17 13 2,F.3533,S31603,O3C 17N14M3,0Cr27Ni12Mo3,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4436,SUS316,X3CrNiMo17-13-3,316,316S19,Z6CND18-12-03,2343,X5CrNiMo17 12 2,F.3543,S31600,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4438,SUS317L,X2CrNiMo18164,317L,317S12,Z2CND19-15-04,2367,X2CrNiMo18 16 4,F.3539,S31703,ATI 317L,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4439,X2CrNiMoN17135,(s31726),Z3CND18-14-06AZ,,,,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.444,X2CrNiMo18-16,,,,,,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4449,SUS317,X5CrNiMo17133,317,317S16,X5CrNiMo1815,S31700,ATI 317,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.446,SUS 329 J1,X8CrNiMo275,329,2324,S32900,10RE51,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4462,SUS329J3L,X2CrNiMoN2253,318S13,Z3CND22-05Az,2377,S31803,ATI 2205TM,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.45,X7NiCrMoCuNb2520,23NCDU25-20M,J95150,,,,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4521,SUS444,X2CrMoTi18-2,443444,2326,X2CrMoTiNb18 2,F.3123,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4539,X1NiCrMoCuN25205,Z2NCDU25-20,2562,N08904,ATI 904L,,,,,,,,
M,Stainless Steels,14,180,10,Stainless steel,Austenitic,1.4541,SUS321,X14CrNiTi18-10,321,321S31,Z6CNT18-10,2337,X6CrNiTi18 11,F.3523,S32100,06C 18N10T,ATI 321,,
