LV1_ISO,LV2_Category,VDI3233_No,HB,HRC,Material_Description,Composition_Heat_Treatment,Material_No,JIS,DIN,AISI_ASTM_SAE,BS,EN,AFNOR,SS,UNI,UNE_IHA,UNS,GOST,GB,Brands
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0972,S315MC,1501-40F30,E315D,,,,,,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0976,S355MC,1501-43F35,E355D,2642,FeE355TM,,,,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0982,S460MC,1501-50F45,,,,,,,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0984,S500MC,E490D,2662,FeE490TM,,,,,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0986,S500MC,1501-60F55,E560D,FeE560TM,,,,,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.1121,S10C,Ck10,1010,040A10,XC10,1265,C10,F.1510,G10100,10,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.1141,S15,Ck15,1015,040A15,32C,XC15,1370,C15,F.1110,G10150,15,15,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.1151,S20C,C22E,1020,055M15,2C22,1450,C20,F.1120,G10230,20,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.89,S25C,StE380,A572-60,436055E,2145,FeE390KG,St44-2,A36,436043A,NFA35-501E28,1411,StE320-3Z,1501160
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.0481,SG365,17 Mn 4/P 295 GH,A516 Gr. 70,224-460B,P 295 GH,A 48 CP,2102,Fe E 295,A47RCI,K03501,14G2,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.0501,S35C,C35,1035,080A32,1C35,1572,C35,F.1130,G10350,35,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.0503,S45C,C45,1045,060A47,XC42H1TS,1672,C45,F.1140,G10450,45,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.0614,C76D,1074,XC75,G10750,,,,,,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.0616,C86D,1086,XC80,C85,G10860,,,,,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.0618,C92D,1095,XC90,G10950,,,,,,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.0726,35S20,1140,212M36,8M,35MF6,1957,G11400,40,,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.1157,40Mn4,1039,150M36,15,40M5,G10390,40G,40Mn,,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.1165,SMn433H,30Mn5,1036,120M36,35M5,30Mn5,F.8211,K13300,30G2,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.1167,SMn438(H),36Mn5,1335,150M36,40M5,2120,36Mn6,F.1203,G13350,35G2,35Mn2,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.1186,S40C,C40E,1040,060A40,2C40,C40,G10400,,,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.1191,S45C,Ck45,1045,080M46,2C45,1672,C45,F.1140,45,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.1201,S50C,C45R,1049,080M46,3C45,1660,C45,F.1145,38HM,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.1213,S50C,Cf53,1050,070M55,XC48HTS,1674,C53,G10500,50,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.7242,SCM 418 H,18CrMo4,,,,,,,,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.7337,16CrMo4-4,A387 Gr.12,A18CrMo45KW,K11564,15C M,,,,,,,,
P,Carbon Steels,2,190,13,Non-alloyed steel,"About 0.45% C, Annealed",1.7362,SCMV 6,12CrMo195,3606-625,Z10CD5-05,16CrMo205,K41545,17MnV6,A572-60,436055E,NFA35-501E36,2142,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.0481,SG365,17 Mn 4/P 295 GH,A516 Gr. 70,224-460B,P 295 GH,A 48 CP,2102,Fe E 295,A47RCI,K03501,14G2,,
P,Carbon Steels,3,250,25,Non-alloyed steel,"About 0.45% C, Annealed",1.0501,S35C,C35,1035,080A32,1C35,1572,C35,F.1130,G10350,35,,,
